======== n=1000, T=20 ========
-- BW=silverman --
Run 01: MS RMSE = 0.0004, DP RMSE = 6.1787, MS BW = 0.2577, DP BW = 0.2577
Run 02: MS RMSE = 0.0014, DP RMSE = 5.2743, MS BW = 0.2823, DP BW = 0.2823
Run 03: MS RMSE = 0.0029, DP RMSE = 8.8848, MS BW = 0.2624, DP BW = 0.2624
Run 04: MS RMSE = 0.0017, DP RMSE = 20.3521, MS BW = 0.2559, DP BW = 0.2559
Run 05: MS RMSE = 0.0001, DP RMSE = 9.3048, MS BW = 0.2617, DP BW = 0.2617
Run 06: MS RMSE = 0.0020, DP RMSE = 9.9060, MS BW = 0.2618, DP BW = 0.2618
Run 07: MS RMSE = 0.0025, DP RMSE = 9.0005, MS BW = 0.2541, DP BW = 0.2541
Run 08: MS RMSE = 0.0015, DP RMSE = 6.7727, MS BW = 0.2561, DP BW = 0.2561
Run 09: MS RMSE = 0.0006, DP RMSE = 5.6166, MS BW = 0.2639, DP BW = 0.2639
Run 10: MS RMSE = 0.0003, DP RMSE = 6.2455, MS BW = 0.2483, DP BW = 0.2483
Run 11: MS RMSE = 0.0033, DP RMSE = 4.6917, MS BW = 0.2843, DP BW = 0.2843
Run 12: MS RMSE = 0.0004, DP RMSE = 5.0163, MS BW = 0.2730, DP BW = 0.2730
Run 13: MS RMSE = 0.0035, DP RMSE = 9.1861, MS BW = 0.2549, DP BW = 0.2549
Run 14: MS RMSE = 0.0003, DP RMSE = 16.2444, MS BW = 0.2667, DP BW = 0.2667
Run 15: MS RMSE = 0.0010, DP RMSE = 7.9191, MS BW = 0.2617, DP BW = 0.2617
Run 16: MS RMSE = 0.0003, DP RMSE = 21.0413, MS BW = 0.2716, DP BW = 0.2716
Run 17: MS RMSE = 0.0007, DP RMSE = 9.3474, MS BW = 0.2672, DP BW = 0.2672
Run 18: MS RMSE = 0.0004, DP RMSE = 16.4391, MS BW = 0.2522, DP BW = 0.2522
Run 19: MS RMSE = 0.0016, DP RMSE = 15.1716, MS BW = 0.2660, DP BW = 0.2660
Run 20: MS RMSE = 0.0007, DP RMSE = 16.4120, MS BW = 0.2622, DP BW = 0.2622
Run 21: MS RMSE = 0.0006, DP RMSE = 13.7977, MS BW = 0.2622, DP BW = 0.2622
Run 22: MS RMSE = 0.0000, DP RMSE = 3.0742, MS BW = 0.2525, DP BW = 0.2525
Run 23: MS RMSE = 0.0010, DP RMSE = 9.7183, MS BW = 0.2607, DP BW = 0.2607
Run 24: MS RMSE = 0.0000, DP RMSE = 8.1382, MS BW = 0.2601, DP BW = 0.2601
Run 25: MS RMSE = 0.0001, DP RMSE = 2.0908, MS BW = 0.2531, DP BW = 0.2531
Run 26: MS RMSE = 0.0000, DP RMSE = 25.1948, MS BW = 0.2730, DP BW = 0.2730
Run 27: MS RMSE = 0.0038, DP RMSE = 11.2195, MS BW = 0.2576, DP BW = 0.2576
Run 28: MS RMSE = 0.0001, DP RMSE = 4.6108, MS BW = 0.2628, DP BW = 0.2628
Run 29: MS RMSE = 0.0016, DP RMSE = 10.4571, MS BW = 0.2742, DP BW = 0.2742
Run 30: MS RMSE = 0.0008, DP RMSE = 2.8287, MS BW = 0.2669, DP BW = 0.2669
Run 31: MS RMSE = 0.0012, DP RMSE = 4.8418, MS BW = 0.2665, DP BW = 0.2665
Run 32: MS RMSE = 0.0018, DP RMSE = 3.6556, MS BW = 0.2649, DP BW = 0.2649
Run 33: MS RMSE = 0.0012, DP RMSE = 5.5537, MS BW = 0.2626, DP BW = 0.2626
Run 34: MS RMSE = 0.0017, DP RMSE = 15.3091, MS BW = 0.2537, DP BW = 0.2537
Run 35: MS RMSE = 0.0006, DP RMSE = 9.7639, MS BW = 0.2668, DP BW = 0.2668
Run 36: MS RMSE = 0.0000, DP RMSE = 9.9720, MS BW = 0.2537, DP BW = 0.2537
Run 37: MS RMSE = 0.0014, DP RMSE = 15.0675, MS BW = 0.2690, DP BW = 0.2690
Run 38: MS RMSE = 0.0009, DP RMSE = 2.3053, MS BW = 0.2897, DP BW = 0.2897
Run 39: MS RMSE = 0.0000, DP RMSE = 14.4036, MS BW = 0.2635, DP BW = 0.2635
Run 40: MS RMSE = 0.0009, DP RMSE = 3.0852, MS BW = 0.2568, DP BW = 0.2568
Run 41: MS RMSE = 0.0006, DP RMSE = 3.0522, MS BW = 0.2614, DP BW = 0.2614
Run 42: MS RMSE = 0.0032, DP RMSE = 3.5111, MS BW = 0.2546, DP BW = 0.2546
Run 43: MS RMSE = 0.0006, DP RMSE = 10.1541, MS BW = 0.2794, DP BW = 0.2794
Run 44: MS RMSE = 0.0006, DP RMSE = 5.5846, MS BW = 0.2671, DP BW = 0.2671
Run 45: MS RMSE = 0.0008, DP RMSE = 10.2247, MS BW = 0.2546, DP BW = 0.2546
Run 46: MS RMSE = 0.0002, DP RMSE = 8.5508, MS BW = 0.2643, DP BW = 0.2643
Run 47: MS RMSE = 0.0001, DP RMSE = 6.4968, MS BW = 0.2841, DP BW = 0.2841
Run 48: MS RMSE = 0.0001, DP RMSE = 6.5185, MS BW = 0.2652, DP BW = 0.2652
Run 49: MS RMSE = 0.0000, DP RMSE = 25.8034, MS BW = 0.2651, DP BW = 0.2651
Run 50: MS RMSE = 0.0000, DP RMSE = 7.3055, MS BW = 0.2576, DP BW = 0.2576

-- BW=0.6 --
Run 01: MS RMSE = 0.0006, DP RMSE = 7.0403, MS BW = 0.6000, DP BW = 0.6000
Run 02: MS RMSE = 0.0000, DP RMSE = 2.5071, MS BW = 0.6000, DP BW = 0.6000
Run 03: MS RMSE = 0.0002, DP RMSE = 7.0707, MS BW = 0.6000, DP BW = 0.6000
Run 04: MS RMSE = 0.0000, DP RMSE = 2.6811, MS BW = 0.6000, DP BW = 0.6000
Run 05: MS RMSE = 0.0003, DP RMSE = 4.7499, MS BW = 0.6000, DP BW = 0.6000
