======== n=1000, T=20 ========
-- BW=silverman --
Run 01: MS RMSE = 0.0076, DP RMSE = 0.0030, MS BW = 1.1225, DP BW = 1.1225
Run 02: MS RMSE = 0.0033, DP RMSE = 0.0120, MS BW = 1.1242, DP BW = 1.1242
Run 03: MS RMSE = 0.0156, DP RMSE = 0.0109, MS BW = 1.1166, DP BW = 1.1166
Run 04: MS RMSE = 0.0012, DP RMSE = 0.0344, MS BW = 1.1153, DP BW = 1.1153
Run 05: MS RMSE = 0.0101, DP RMSE = 0.0477, MS BW = 1.1387, DP BW = 1.1387
Run 06: MS RMSE = 0.0072, DP RMSE = 0.0087, MS BW = 1.1091, DP BW = 1.1091
Run 07: MS RMSE = 0.0037, DP RMSE = 0.0150, MS BW = 1.1316, DP BW = 1.1316
Run 08: MS RMSE = 0.0003, DP RMSE = 0.0488, MS BW = 1.1271, DP BW = 1.1271
Run 09: MS RMSE = 0.0067, DP RMSE = 0.0332, MS BW = 1.1322, DP BW = 1.1322
Run 10: MS RMSE = 0.0024, DP RMSE = 0.0428, MS BW = 1.1121, DP BW = 1.1121
Run 11: MS RMSE = 0.0132, DP RMSE = 0.0160, MS BW = 1.1053, DP BW = 1.1053
Run 12: MS RMSE = 0.0012, DP RMSE = 0.0102, MS BW = 1.1162, DP BW = 1.1162
Run 13: MS RMSE = 0.0016, DP RMSE = 0.0229, MS BW = 1.1213, DP BW = 1.1213
Run 14: MS RMSE = 0.0094, DP RMSE = 0.0506, MS BW = 1.1149, DP BW = 1.1149
Run 15: MS RMSE = 0.0049, DP RMSE = 0.0310, MS BW = 1.1217, DP BW = 1.1217
Run 16: MS RMSE = 0.0019, DP RMSE = 0.0349, MS BW = 1.1349, DP BW = 1.1349
Run 17: MS RMSE = 0.0080, DP RMSE = 0.0491, MS BW = 1.1173, DP BW = 1.1173
Run 18: MS RMSE = 0.0050, DP RMSE = 0.0130, MS BW = 1.1158, DP BW = 1.1158
