======== n=1000, T=20 ========
-- BW=silverman --
Run 01: MS RMSE = 0.0000, DP RMSE = 2.7467, MS BW = 0.2624, DP BW = 0.2624
Run 02: MS RMSE = 0.0336, DP RMSE = 5.5435, MS BW = 0.2654, DP BW = 0.2654
Run 03: MS RMSE = 0.0004, DP RMSE = 1.3369, MS BW = 0.2658, DP BW = 0.2658
Run 04: MS RMSE = 0.0046, DP RMSE = 5.8149, MS BW = 0.2674, DP BW = 0.2674
Run 05: MS RMSE = 0.0002, DP RMSE = 11.1967, MS BW = 0.2632, DP BW = 0.2632
Run 06: MS RMSE = 0.0182, DP RMSE = 4.1957, MS BW = 0.2625, DP BW = 0.2625
Run 07: MS RMSE = 0.0079, DP RMSE = 5.6092, MS BW = 0.2738, DP BW = 0.2738
Run 08: MS RMSE = 0.0075, DP RMSE = 4.5803, MS BW = 0.2777, DP BW = 0.2777
Run 09: MS RMSE = 0.0032, DP RMSE = 13.1806, MS BW = 0.2699, DP BW = 0.2699
Run 10: MS RMSE = 0.0156, DP RMSE = 4.3796, MS BW = 0.2685, DP BW = 0.2685
Run 11: MS RMSE = 0.0079, DP RMSE = 5.1541, MS BW = 0.2649, DP BW = 0.2649
Run 12: MS RMSE = 0.0005, DP RMSE = 8.3299, MS BW = 0.2617, DP BW = 0.2617
Run 13: MS RMSE = 0.1087, DP RMSE = 6.6965, MS BW = 0.2586, DP BW = 0.2586
Run 14: MS RMSE = 0.0016, DP RMSE = 3.6091, MS BW = 0.2635, DP BW = 0.2635
Run 15: MS RMSE = 0.0519, DP RMSE = 2.2152, MS BW = 0.2673, DP BW = 0.2673
Run 16: MS RMSE = 0.0043, DP RMSE = 5.3557, MS BW = 0.2757, DP BW = 0.2757
Run 17: MS RMSE = 0.0049, DP RMSE = 6.1635, MS BW = 0.2629, DP BW = 0.2629
Run 18: MS RMSE = 0.0026, DP RMSE = 1.3081, MS BW = 0.2622, DP BW = 0.2622
Run 19: MS RMSE = 0.0112, DP RMSE = 2.5621, MS BW = 0.2742, DP BW = 0.2742
Run 20: MS RMSE = 0.0041, DP RMSE = 7.3938, MS BW = 0.2628, DP BW = 0.2628
Run 21: MS RMSE = 0.0009, DP RMSE = 4.5550, MS BW = 0.2581, DP BW = 0.2581
Run 22: MS RMSE = 0.0000, DP RMSE = 3.9538, MS BW = 0.2538, DP BW = 0.2538
Run 23: MS RMSE = 0.0050, DP RMSE = 8.5746, MS BW = 0.2587, DP BW = 0.2587
Run 24: MS RMSE = 0.0000, DP RMSE = 1.4104, MS BW = 0.2566, DP BW = 0.2566
Run 25: MS RMSE = 0.0037, DP RMSE = 4.6014, MS BW = 0.2576, DP BW = 0.2576
Run 26: MS RMSE = 0.0143, DP RMSE = 7.3841, MS BW = 0.2686, DP BW = 0.2686
Run 27: MS RMSE = 0.0924, DP RMSE = 1.5344, MS BW = 0.2637, DP BW = 0.2637
Run 28: MS RMSE = 0.0000, DP RMSE = 3.1482, MS BW = 0.2597, DP BW = 0.2597
Run 29: MS RMSE = 0.0188, DP RMSE = 4.4473, MS BW = 0.2621, DP BW = 0.2621
Run 30: MS RMSE = 0.0091, DP RMSE = 7.7474, MS BW = 0.2692, DP BW = 0.2692
Run 31: MS RMSE = 0.0220, DP RMSE = 3.2063, MS BW = 0.2665, DP BW = 0.2665
Run 32: MS RMSE = 0.0875, DP RMSE = 3.8522, MS BW = 0.2742, DP BW = 0.2742
Run 33: MS RMSE = 0.0009, DP RMSE = 4.6330, MS BW = 0.2753, DP BW = 0.2753
Run 34: MS RMSE = 0.0409, DP RMSE = 3.7777, MS BW = 0.2698, DP BW = 0.2698
Run 35: MS RMSE = 0.0354, DP RMSE = 3.6174, MS BW = 0.2771, DP BW = 0.2771
Run 36: MS RMSE = 0.0008, DP RMSE = 7.9047, MS BW = 0.2696, DP BW = 0.2696
Run 37: MS RMSE = 0.0007, DP RMSE = 4.3051, MS BW = 0.2674, DP BW = 0.2674
Run 38: MS RMSE = 0.0204, DP RMSE = 11.3154, MS BW = 0.2630, DP BW = 0.2630
Run 39: MS RMSE = 0.0140, DP RMSE = 7.9943, MS BW = 0.2754, DP BW = 0.2754
Run 40: MS RMSE = 0.0017, DP RMSE = 6.9088, MS BW = 0.2628, DP BW = 0.2628
Run 41: MS RMSE = 0.0036, DP RMSE = 8.1068, MS BW = 0.2664, DP BW = 0.2664
Run 42: MS RMSE = 0.0016, DP RMSE = 3.8414, MS BW = 0.2756, DP BW = 0.2756
Run 43: MS RMSE = 0.0034, DP RMSE = 5.2866, MS BW = 0.2697, DP BW = 0.2697
Run 44: MS RMSE = 0.1417, DP RMSE = 3.7506, MS BW = 0.2638, DP BW = 0.2638
Run 45: MS RMSE = 0.1620, DP RMSE = 3.4659, MS BW = 0.2605, DP BW = 0.2605
Run 46: MS RMSE = 0.0041, DP RMSE = 8.0380, MS BW = 0.2693, DP BW = 0.2693
Run 47: MS RMSE = 0.0070, DP RMSE = 20.2866, MS BW = 0.2705, DP BW = 0.2705
Run 48: MS RMSE = 0.1498, DP RMSE = 2.1059, MS BW = 0.2704, DP BW = 0.2704
Run 49: MS RMSE = 0.0029, DP RMSE = 2.0331, MS BW = 0.2690, DP BW = 0.2690
Run 50: MS RMSE = 0.0049, DP RMSE = 5.8349, MS BW = 0.2669, DP BW = 0.2669

-- BW=0.6 --
Run 01: MS RMSE = 0.0003, DP RMSE = 3.3758, MS BW = 0.6000, DP BW = 0.6000
Run 02: MS RMSE = 0.0157, DP RMSE = 6.2368, MS BW = 0.6000, DP BW = 0.6000
Run 03: MS RMSE = 0.0064, DP RMSE = 8.8695, MS BW = 0.6000, DP BW = 0.6000
Run 04: MS RMSE = 0.0030, DP RMSE = 2.3351, MS BW = 0.6000, DP BW = 0.6000
Run 05: MS RMSE = 0.0255, DP RMSE = 8.8860, MS BW = 0.6000, DP BW = 0.6000
Run 06: MS RMSE = 0.0003, DP RMSE = 8.3781, MS BW = 0.6000, DP BW = 0.6000
Run 07: MS RMSE = 0.0016, DP RMSE = 4.1954, MS BW = 0.6000, DP BW = 0.6000
Run 08: MS RMSE = 0.0041, DP RMSE = 3.3857, MS BW = 0.6000, DP BW = 0.6000
Run 09: MS RMSE = 0.0002, DP RMSE = 7.3614, MS BW = 0.6000, DP BW = 0.6000
Run 10: MS RMSE = 0.0033, DP RMSE = 7.2455, MS BW = 0.6000, DP BW = 0.6000
Run 11: MS RMSE = 0.0127, DP RMSE = 16.4176, MS BW = 0.6000, DP BW = 0.6000
Run 12: MS RMSE = 0.0154, DP RMSE = 12.1668, MS BW = 0.6000, DP BW = 0.6000
Run 13: MS RMSE = 0.0000, DP RMSE = 6.8372, MS BW = 0.6000, DP BW = 0.6000
Run 14: MS RMSE = 0.0259, DP RMSE = 2.0619, MS BW = 0.6000, DP BW = 0.6000
Run 15: MS RMSE = 0.0000, DP RMSE = 4.8963, MS BW = 0.6000, DP BW = 0.6000
Run 16: MS RMSE = 0.0172, DP RMSE = 3.1807, MS BW = 0.6000, DP BW = 0.6000
