======== n=1000, T=20 ========
-- BW=silverman --
Run 01: MS RMSE = 0.0104, DP RMSE = 11.6097, MS BW = 0.3266, DP BW = 0.3266
Run 02: MS RMSE = 0.0008, DP RMSE = 3.8168, MS BW = 0.3344, DP BW = 0.3344
Run 03: MS RMSE = 0.0056, DP RMSE = 10.9528, MS BW = 0.3453, DP BW = 0.3453
Run 04: MS RMSE = 0.0003, DP RMSE = 2.5153, MS BW = 0.3387, DP BW = 0.3387
Run 05: MS RMSE = 0.0019, DP RMSE = 3.9549, MS BW = 0.3257, DP BW = 0.3257
Run 06: MS RMSE = 0.0006, DP RMSE = 7.6316, MS BW = 0.3089, DP BW = 0.3089
Run 07: MS RMSE = 0.0311, DP RMSE = 10.1619, MS BW = 0.3784, DP BW = 0.3784
Run 08: MS RMSE = 0.0002, DP RMSE = 14.9856, MS BW = 0.3480, DP BW = 0.3480
Run 09: MS RMSE = 0.0043, DP RMSE = 8.6349, MS BW = 0.3579, DP BW = 0.3579
Run 10: MS RMSE = 0.0085, DP RMSE = 3.3359, MS BW = 0.3476, DP BW = 0.3476
Run 11: MS RMSE = 0.0017, DP RMSE = 5.2440, MS BW = 0.3616, DP BW = 0.3616
Run 12: MS RMSE = 0.0223, DP RMSE = 18.0087, MS BW = 0.3375, DP BW = 0.3375
Run 13: MS RMSE = 0.0002, DP RMSE = 13.1257, MS BW = 0.3418, DP BW = 0.3418
Run 14: MS RMSE = 0.0478, DP RMSE = 12.1078, MS BW = 0.3335, DP BW = 0.3335
Run 15: MS RMSE = 0.0164, DP RMSE = 12.5739, MS BW = 0.3356, DP BW = 0.3356
Run 16: MS RMSE = 0.0030, DP RMSE = 4.9893, MS BW = 0.3471, DP BW = 0.3471
Run 17: MS RMSE = 0.0238, DP RMSE = 15.0163, MS BW = 0.3883, DP BW = 0.3883
Run 18: MS RMSE = 0.0007, DP RMSE = 11.8731, MS BW = 0.3508, DP BW = 0.3508
Run 19: MS RMSE = 0.0007, DP RMSE = 4.3467, MS BW = 0.3548, DP BW = 0.3548
Run 20: MS RMSE = 0.0023, DP RMSE = 2.1143, MS BW = 0.3440, DP BW = 0.3440
Run 21: MS RMSE = 0.0036, DP RMSE = 5.4229, MS BW = 0.3308, DP BW = 0.3308
Run 22: MS RMSE = 0.0019, DP RMSE = 2.3849, MS BW = 0.3320, DP BW = 0.3320
Run 23: MS RMSE = 0.0055, DP RMSE = 10.9272, MS BW = 0.3443, DP BW = 0.3443
Run 24: MS RMSE = 0.0111, DP RMSE = 6.9048, MS BW = 0.3504, DP BW = 0.3504
Run 25: MS RMSE = 0.0065, DP RMSE = 13.5347, MS BW = 0.3261, DP BW = 0.3261
Run 26: MS RMSE = 0.0259, DP RMSE = 8.6489, MS BW = 0.3227, DP BW = 0.3227
Run 27: MS RMSE = 0.0001, DP RMSE = 1.7214, MS BW = 0.3541, DP BW = 0.3541
Run 28: MS RMSE = 0.0114, DP RMSE = 7.8023, MS BW = 0.3267, DP BW = 0.3267
Run 29: MS RMSE = 0.0305, DP RMSE = 2.8748, MS BW = 0.3850, DP BW = 0.3850
Run 30: MS RMSE = 0.0006, DP RMSE = 3.7602, MS BW = 0.3322, DP BW = 0.3322
Run 31: MS RMSE = 0.0148, DP RMSE = 7.9666, MS BW = 0.3534, DP BW = 0.3534
Run 32: MS RMSE = 0.0098, DP RMSE = 16.2282, MS BW = 0.3320, DP BW = 0.3320
Run 33: MS RMSE = 0.0009, DP RMSE = 11.5711, MS BW = 0.3499, DP BW = 0.3499
Run 34: MS RMSE = 0.0133, DP RMSE = 2.4263, MS BW = 0.3308, DP BW = 0.3308
Run 35: MS RMSE = 0.0008, DP RMSE = 1.2029, MS BW = 0.3742, DP BW = 0.3742
Run 36: MS RMSE = 0.0006, DP RMSE = 14.9765, MS BW = 0.3380, DP BW = 0.3380
Run 37: MS RMSE = 0.0003, DP RMSE = 11.6544, MS BW = 0.3313, DP BW = 0.3313
